Danimoth,136.236,8.096,8.817,9.809,7.367,1.54,2.642,0.603,5.7,2.044,7.582,7.283,3.339,45.342,4.863,3.153,18.056
Neophyte,134.93,0,1.667,0.186,18.309,17.42,10.663,5.109,0,0,0,10.505,19.67,14.096,12.141,13.236,11.928
Sloxxor,133.597,11.154,16.251,13.945,7.323,6.807,5.736,0.041,7.464,6.146,12.583,5.942,8.171,8.131,8.92,3.416,11.567
Volv,130.675,13.357,10.585,7.358,43.4,4.739,38.611,2.724,0.011,9.89,0,0,0,0,0,0,0
Mandos,126.974,0,0,0,0,0,0,0,0,0,39.591,0,14.635,12.585,18.298,20.696,21.169
bigchris27,126.53,11.605,6.202,6.623,4.445,4.895,5.366,3.143,8.212,12.613,19.857,7.897,0.171,8.702,5.636,11.478,9.685
Swamp Fox,125.244,16.082,3.946,2.949,23.423,15.131,0,0,8.021,6.303,9.913,0,0,0,0,39.476,0
Slice,124.842,5.239,28.263,9.915,20.243,1.391,3.624,0.271,0.089,4.038,0.018,2.219,6.079,40.731,0,2.574,0.148
Sizzler,119.367,0,0,0,0,0,0,7.978,12.292,18.198,23.646,10.711,8.157,8.499,10.216,11.532,8.138
MikeyBlue,119.19,7.342,5.282,7.894,12.38,9.218,5.66,8.243,11.866,14.04,13.208,4.796,8.669,2.247,1.15,2.04,5.155
Triggered,117.673,0,26.297,0,0,0,0,0,0,3.1,17.801,6.272,40.628,21.527,2.048,0,0
Martinum,116.621,16.454,9.801,2.743,0.58,0,1.882,9.744,0.107,12.773,18.712,11.228,18.32,5.168,9.109,0,0
Soup,116.219,30.458,18.889,13.275,3.512,16.491,21.677,11.917,0,0,0,0,0,0,0,0,0
Rompar,114.047,0.053,7.68,17.675,14.679,5.826,5.258,5.297,5.2,5.75,1.862,5.322,5.906,17.855,15.684,0,0
Gothia,113.357,6.549,8.667,5.161,4.179,5.698,3.557,4.777,2.713,3.66,22.236,0.001,29.054,9.162,6.311,1.632,0
Jakool,113.305,0,0,1.141,0,0,10.732,0.568,4.657,41.025,5.221,33.669,1.872,10.59,1.067,1.482,1.281
Warpig,112.465,5.75,12.09,10.673,12.443,5.628,14.825,18.669,4.716,8.846,18.825,0,0,0,0,0,0
Cobber,110.195,9.92,10.328,0,1.761,1.852,13.535,10.384,0,9.429,7.927,11.265,3.521,11.085,13.073,0,6.115
AgFx,108.207,34.917,29.413,6.301,23.662,13.914,0,0,0,0,0,0,0,0,0,0,0
Mdk,107.036,0,0.0,0.569,0,36.415,0,1.461,30.728,12.214,0,0,0,0.0,8.943,9.847,6.859
MacTheMeek,104.195,0.0,30.209,2.253,20.665,1.323,6.925,0.006,0,5.836,27.906,1.229,2.114,0.111,5.618,0,0
Unfather,103.426,1.114,11.703,8.58,36.05,26.122,4.449,8.811,1.501,1.495,3.295,0.306,0,0,0,0,0
TitoB,102.013,0,0,0,0,0,0,0,0,18.246,18.768,19.8,24.971,1.6,4.039,9.681,4.908
Canard,101.639,0,14.773,16.825,0.123,0.051,3.169,22.592,18.886,18.361,6.859,0,0,0,0,0,0
Larso,101.087,8.634,0,0.556,6.411,3.991,12.134,4.616,4.233,6.348,12.147,11.145,8.472,13.039,4.601,2.268,2.492
Bobbo,99.94,0,0.048,1.419,19.671,13.075,3.173,14.092,8.187,9.93,0.0,1.608,0.9,12.497,1.288,13.877,0.175
Korsan,99.694,0.0,11.17,5.542,5.811,0,15.001,4.647,11.454,7.249,16.807,9.34,1.867,1.212,2.151,1.794,5.649
SlyPimp,99.481,14.903,5.346,0,0.003,0.0,4.072,1.68,15.702,3.179,26.682,0,6.606,7.679,6.073,2.609,4.947
Gipsa,98.595,5.168,0,49.444,19.389,7.884,16.71,0,0,0,0,0,0,0,0,0,0
Uruk Hai,97.668,5.371,3.439,4.198,11.51,9.387,9.289,10.911,0,5.463,1.882,8.45,8.375,6.116,8.517,0.719,4.041
Yami,97.094,2.356,0.233,1.948,7.88,0.697,3.445,2.733,0.445,7.627,4.595,6.469,12.933,4.434,34.55,2.963,3.786
Sly Delvecchio,96.2,0.0,4.375,9.092,2.127,12.198,6.628,17.013,0.0,3.07,12.619,2.395,0.442,1.142,22.514,2.328,0.257
TheThing,93.914,0,0,0,0,0,0,4.479,6.609,25.881,2.384,7.059,11.3,7.153,4.65,3.611,20.788
Damdred,93.767,1.85,17.634,12.818,19.22,0.0,19.373,22.872,0,0,0,0,0,0,0,0,0
Temujin83,92.985,0,0,0,0,0,0,11.973,0.639,1.625,1.294,16.925,8.892,33.432,4.117,0.394,13.694
ForPony!,89.89,0,0.0,48.092,36.917,4.881,0,0,0,0,0,0,0,0,0,0,0
Payfoot,87.923,0,0,0,0,4.239,0,2.377,0,9.134,2.654,2.005,23.728,16.568,22.521,4.697,0
Chud,87.003,0,0,0,0,0,0,0,0,9.773,5.174,19.655,14.33,11.805,13.372,12.894,0
Rury,85.293,6.951,10.387,0.101,4.653,4.936,6.109,8.329,4.423,10.14,7.536,9.698,4.284,5.056,0.812,0.57,1.308
margoose,83.266,0.748,9.438,4.063,4.722,38.3,13.296,8.423,1.803,1.034,1.208,0.231,0,0,0,0,0
